Date,VVC-Price,VVC-RT,% Buys,% Sells,BS Ratio,CG-Price,CG-RT,CG-BSR,MTI,Trend
3/13/26,76.05,0.85,9.40,34.80,0.27,R,R,R,0.62,DnDn
3/16/26,76.79,0.88,10.80,31.50,0.34,Y,Y,Y,0.64,DnDn
3/17/26,77.22,0.89,10.70,29.10,0.37,Y,Y,Y,0.67,DnDn
3/18/26,76.20,0.85,9.60,34.60,0.28,R,R,R,0.63,DnDn
3/19/26,76.11,0.85,9.60,35.90,0.27,R,Y,R,0.61,DnDn
3/20/26,74.72,0.81,8.00,41.30,0.19,R,R,R,0.54,DnDn
3/23/26,75.88,0.85,9.20,35.20,0.26,Y,Y,Y,0.58,DnDn
3/24/26,75.94,0.85,9.40,35.30,0.27,Y,Y,Y,0.60,DnDn
3/25/26,76.54,0.88,10.50,32.20,0.32,Y,Y,Y,0.65,UpDn
3/26/26,75.33,0.84,9.40,37.10,0.25,R,R,R,0.63,DnDn
3/27/26,74.33,0.81,8.80,42.70,0.21,R,Y,Y,0.59,DnDn
3/30/26,73.87,0.79,8.20,43.50,0.19,R,R,R,0.56,DnDn
3/31/26,75.85,0.85,8.70,33.30,0.26,Y,Y,Y,0.62,DnDn
4/1/26,76.49,0.87,9.20,31.00,0.30,Y,Y,Y,0.70,DnDn
4/2/26,76.61,0.88,10.10,31.20,0.32,Y,Y,Y,0.75,UpDn
4/6/26,76.98,0.87,9.70,30.50,0.32,Y,Y,Y,0.79,UpDn
4/7/26,76.91,0.87,9.60,29.10,0.33,Y,Y,Y,0.81,UpDn
